combo_id,strategy_id,strategy_name,symbol,timeframe,strategy_type,param1_name,param1_value,param2_name,param2_value,total_return,total_return_pct,cagr,cagr_pct,sharpe,sharpe_ratio,sortino,sortino_ratio,max_drawdown,max_drawdown_pct,profit_factor,win_rate,win_rate_pct,trades,total_trades,expectancy,avg_trade,exposure,exposure_time_pct,volatility,ending_equity,selected_for_dashboard
bollinger_mean_reversion__30__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,30.0,std_dev,2.5,-0.00818055191307776,-0.818055191307776,-0.9501223178343633,-95.01223178343633,-15.673274883274638,-15.673274883274638,-14.751503995041194,-14.751503995041194,-0.012109236811760571,-1.210923681176057,0.8475336295580992,0.5714285714285714,57.14285714285714,21,21,-91.41401501475013,-91.41401501475013,0.3388888888888889,33.88888888888889,0.19013881091383789,991819.4480869223,False
bollinger_mean_reversion__30__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,30.0,std_dev,3.0,0.0023832728613428777,0.23832728613428777,1.3841904681255754,138.41904681255755,7.393047780504836,7.393047780504836,4.178345463696204,4.178345463696204,-0.003549880844983977,-0.3549880844983977,5.292251470541762,0.8333333333333334,83.33333333333334,6,6,899.1180438058024,899.1180438058024,0.10694444444444444,10.694444444444445,0.1184729467143287,1002383.2728613429,False
bollinger_mean_reversion__30__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,30.0,std_dev,3.5,0.0005193395991349714,0.05193395991349714,0.20865690590058739,20.86569059005874,4.7164435001405645,4.7164435001405645,0.7547980148336529,0.7547980148336529,-0.0014876820226982224,-0.14876820226982224,999999.0,1.0,100.0,1,1,1548.9806420352543,1548.9806420352543,0.011805555555555555,1.1805555555555556,0.04035329473468791,1000519.339599135,False
bollinger_mean_reversion__40__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,1.5,-0.015811853914965424,-1.5811853914965424,-0.9970247913716317,-99.70247913716317,-23.340488798097937,-23.340488798097937,-29.89577121398625,-29.89577121398625,-0.01884307627833426,-1.8843076278334259,0.9111245088014144,0.6190476190476191,61.904761904761905,42,42,-45.60872527927859,-45.60872527927859,0.6569444444444444,65.69444444444444,0.24792440712999297,984188.1460850346,False
bollinger_mean_reversion__40__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,2.0,-0.006363508360098358,-0.6363508360098358,-0.9027142010974983,-90.27142010974984,-9.984805368675778,-9.984805368675778,-11.60232732981638,-11.60232732981638,-0.0122999146997117,-1.22999146997117,1.4104554824411506,0.6666666666666666,66.66666666666666,33,33,184.59167689743987,184.59167689743987,0.53125,53.125,0.2306992958632059,993636.4916399017,False
bollinger_mean_reversion__40__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,2.5,-0.005260083742371524,-0.5260083742371524,-0.8541239282097131,-85.4123928209713,-10.416962411195794,-10.416962411195794,-9.452724278439618,-9.452724278439618,-0.010326191005867624,-1.0326191005867624,0.9893947654233185,0.6470588235294118,64.70588235294117,17,17,-7.071761755813735,-7.071761755813735,0.32222222222222224,32.22222222222222,0.1831836718699467,994739.9162576285,False
bollinger_mean_reversion__40__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,3.0,0.0010915230351395966,0.10915230351395966,0.4891248989919763,48.91248989919763,3.3441598490949183,3.3441598490949183,1.981207961851276,1.981207961851276,-0.003549880844984088,-0.3549880844984088,11.147670523121572,0.8333333333333334,83.33333333333334,6,6,912.4790906951918,912.4790906951918,0.11666666666666667,11.666666666666666,0.12126801413343007,1001091.5230351395,False
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,3.5,0.00311486544906292,0.311486544906292,2.1116678596610647,211.1667859661065,15.1933123774796,15.1933123774796,4.835368224062626,4.835368224062626,-0.0017609610303658263,-0.17609610303658263,999999.0,1.0,100.0,2,2,507.4938157571596,507.4938157571596,0.029861111111111113,2.986111111111111,0.0748989935906915,1003114.8654490629,True
bollinger_mean_reversion__50__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,50.0,std_dev,1.5,-0.012282856737921732,-1.2282856737921732,-0.9890125743308448,-98.90125743308448,-18.596946454205213,-18.596946454205213,-24.447554655366666,-24.447554655366666,-0.016621265776746053,-1.6621265776746053,0.8567291899067312,0.6060606060606061,60.60606060606061,33,33,-90.31342938633382,-90.31342938633382,0.6465277777777778,64.65277777777779,0.24100435424677968,987717.1432620783,False
bollinger_mean_reversion__50__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,50.0,std_dev,2.0,-0.010951865887113166,-1.0951865887113166,-0.9820377304885742,-98.20377304885743,-18.075700207149882,-18.075700207149882,-21.697403967040056,-21.697403967040056,-0.015365880201665072,-1.5365880201665072,0.7210024512936197,0.4583333333333333,45.83333333333333,24,24,-181.5794078311786,-181.5794078311786,0.5555555555555556,55.55555555555556,0.2210173789229843,989048.1341128869,False
bollinger_mean_reversion__50__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,50.0,std_dev,2.5,-0.005847419266958864,-0.5847419266958864,-0.8824125024148298,-88.24125024148299,-12.250488331965803,-12.250488331965803,-11.236787132857092,-11.236787132857092,-0.008811650752879263,-0.8811650752879263,0.9334967426147178,0.6153846153846154,61.53846153846154,13,13,-59.73461570065074,-59.73461570065074,0.31875,31.874999999999996,0.17350473706861005,994152.5807330412,False
bollinger_mean_reversion__50__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,50.0,std_dev,3.0,-0.00080200585223833,-0.080200585223833,-0.25386563817483854,-25.386563817483854,-2.0160240451851,-2.0160240451851,-1.4429434129776186,-1.4429434129776186,-0.005126958881140675,-0.5126958881140675,1.0433426252369462,0.6666666666666666,66.66666666666666,9,9,23.81950798644943,23.81950798644943,0.22430555555555556,22.430555555555557,0.14037419152532576,999197.9941477617,False
bollinger_mean_reversion__50__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,50.0,std_dev,3.5,0.0016847491547304916,0.16847491547304916,0.8485767491965779,84.85767491965778,6.908475989934768,6.908475989934768,3.5087929089174725,3.5087929089174725,-0.0042598798521364944,-0.42598798521364944,999999.0,1.0,100.0,3,3,1012.4099782164752,1012.4099782164752,0.08194444444444444,8.194444444444445,0.08951642267228986,1001684.7491547305,False
rsi_mean_reversion__7__20,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,7.0,oversold_threshold,20.0,-0.007386859783138688,-0.7386859783138688,-0.9332106320823409,-93.3210632082341,-18.2534093226165,-18.2534093226165,-12.597405231083632,-12.597405231083632,-0.008385385092362418,-0.8385385092362418,0.9525484780802015,0.5833333333333334,58.333333333333336,24,24,-18.551563246738322,-18.551563246738322,0.17708333333333334,17.708333333333336,0.1476602877316279,992613.1402168613,False
rsi_mean_reversion__7__25,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,7.0,oversold_threshold,25.0,-0.012724843187596813,-1.2724843187596813,-0.9906686125256647,-99.06686125256647,-25.75921978559393,-25.75921978559393,-24.025682985082,-24.025682985082,-0.013753054335847836,-1.3753054335847836,1.0744432370330435,0.5777777777777777,57.77777777777777,45,45,22.89899072611394,22.89899072611394,0.3076388888888889,30.76388888888889,0.180828553597712,987275.1568124032,False
rsi_mean_reversion__7__30,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,7.0,oversold_threshold,30.0,-0.024705497850476155,-2.4705497850476155,-0.9998917175036494,-99.98917175036493,-43.941199896234046,-43.941199896234046,-50.11882673232693,-50.11882673232693,-0.025289530214332112,-2.528953021433211,0.6373557147928635,0.5522388059701493,55.223880597014926,67,67,-134.7665020906238,-134.7665020906238,0.44930555555555557,44.93055555555556,0.20730434226890043,975294.5021495238,False
rsi_mean_reversion__7__35,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,7.0,oversold_threshold,35.0,-0.04266420056448694,-4.266420056448695,-0.9999998774059612,-99.99998774059613,-67.51091526376692,-67.51091526376692,-85.86223640621682,-85.86223640621682,-0.04302891514636609,-4.302891514636609,0.4981589414397081,0.5108695652173914,51.08695652173913,92,92,-186.67583948615737,-186.67583948615737,0.5763888888888888,57.638888888888886,0.23531690653169987,957335.7994355131,False
rsi_mean_reversion__7__40,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,7.0,oversold_threshold,40.0,-0.061166455274431875,-6.116645527443188,-0.9999999999011815,-99.99999999011816,-89.89278948427479,-89.89278948427479,-131.36030406610135,-131.36030406610135,-0.06152412108398442,-6.152412108398442,0.3558902550230301,0.42276422764227645,42.27642276422765,123,123,-226.38157119259535,-226.38157119259535,0.7083333333333334,70.83333333333334,0.2559102560443752,938833.5447255682,False
rsi_mean_reversion__10__20,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,10.0,oversold_threshold,20.0,-0.0009602337280503193,-0.09602337280503193,-0.2957724090335083,-29.577240903350834,-2.657253930731568,-2.657253930731568,-1.3805053146949795,-1.3805053146949795,-0.004843394666199652,-0.4843394666199652,2.8125896898268596,0.6666666666666666,66.66666666666666,12,12,453.7350750108405,453.7350750108405,0.11597222222222223,11.597222222222223,0.1288377589984782,999039.7662719496,False
rsi_mean_reversion__10__25,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,10.0,oversold_threshold,25.0,-0.0042138555055406535,-0.42138555055406535,-0.7858989046774528,-78.58989046774528,-9.983705681656021,-9.983705681656021,-7.081694692600756,-7.081694692600756,-0.006751287331166367,-0.6751287331166367,1.529875434502442,0.6,60.0,20,20,179.79604131957166,179.79604131957166,0.19583333333333333,19.583333333333332,0.15320660042553036,995786.1444944594,False
rsi_mean_reversion__10__30,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,10.0,oversold_threshold,30.0,-0.010206649561649517,-1.0206649561649517,-0.9763541940765982,-97.63541940765982,-19.76355994246031,-19.76355994246031,-18.76124971764295,-18.76124971764295,-0.012642737235513346,-1.2642737235513346,1.1609050723620535,0.5789473684210527,57.89473684210527,38,38,49.191191765761594,49.191191765761594,0.34930555555555554,34.93055555555556,0.188568159268733,989793.3504383505,False
rsi_mean_reversion__10__35,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,10.0,oversold_threshold,35.0,-0.02031805524489494,-2.031805524489494,-0.9994427333733822,-99.94427333733822,-34.38999796987737,-34.38999796987737,-40.34697757012497,-40.34697757012497,-0.021816441370832163,-2.1816441370832163,0.7973175042819322,0.5689655172413793,56.896551724137936,58,58,-82.11123120024648,-82.11123120024648,0.5027777777777778,50.27777777777778,0.21718032681709806,979681.9447551051,False
rsi_mean_reversion__10__40,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,10.0,oversold_threshold,40.0,-0.03631352281880795,-3.6313522818807953,-0.9999986305248173,-99.99986305248173,-54.46541523991353,-54.46541523991353,-73.73643428341198,-73.73643428341198,-0.037893974032674915,-3.7893974032674915,0.659014997341499,0.5617977528089888,56.17977528089888,89,89,-118.39612299158745,-118.39612299158745,0.6534722222222222,65.34722222222223,0.2473189136866998,963686.477181192,False
