combo_id,strategy_id,strategy_name,symbol,timeframe,strategy_type,param1_name,param1_value,param2_name,param2_value,total_return,total_return_pct,cagr,cagr_pct,sharpe,sharpe_ratio,sortino,sortino_ratio,max_drawdown,max_drawdown_pct,profit_factor,win_rate,win_rate_pct,trades,total_trades,expectancy,avg_trade,exposure,exposure_time_pct,volatility,ending_equity,selected_for_dashboard
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,BTCUSDT,1m,Mean Reversion,bb_length,40.0,std_dev,3.5,0.00311486544906292,0.311486544906292,2.1116678596610647,211.1667859661065,15.1933123774796,15.1933123774796,4.835368224062626,4.835368224062626,-0.0017609610303658263,-0.17609610303658263,999999.0,1.0,100.0,2,2,507.4938157571596,507.4938157571596,0.029861111111111113,2.986111111111111,0.0748989935906915,1003114.8654490629,True
ema_crossover_trend__25__125,ema_crossover_trend,EMA Crossover Trend Following,BTCUSDT,1m,Trend Following,fast_ema,25.0,slow_ema,125.0,-0.012059741141861369,-1.2059741141861369,-0.9880683790328089,-98.8068379032809,-15.346400790822662,-15.346400790822662,-21.756669086087122,-21.756669086087122,-0.014426038928764262,-1.4426038928764262,0.5539272816503144,0.15,15.0,20,20,-570.6459867090277,-570.6459867090277,0.9993055555555556,99.93055555555556,0.2859087062773819,987940.2588581386,True
rsi_mean_reversion__20__25,rsi_mean_reversion,RSI Mean Reversion,BTCUSDT,1m,Mean Reversion,rsi_length,20.0,oversold_threshold,25.0,0.0037845573692207868,0.3784557369220787,2.9699602876632722,296.99602876632724,16.403792385397388,16.403792385397388,7.685168331181761,7.685168331181761,-0.003549880844984088,-0.3549880844984088,14.372071213873364,0.6666666666666666,66.66666666666666,3,3,843.1658617718689,843.1658617718689,0.05486111111111111,5.486111111111111,0.08426750528199319,1003784.5573692208,True
vwap_mean_reversion__1__0,vwap_mean_reversion,VWAP Mean Reversion,BTCUSDT,1m,Mean Reversion,vwap_deviation_pct,1.0,exit_threshold,0.0,0.007796138119115836,0.7796138119115836,16.022830641330625,1602.2830641330625,18.650237697949027,18.650237697949027,16.17576663598377,16.17576663598377,-0.0030280309526216076,-0.30280309526216076,999999.0,1.0,100.0,1,1,8353.437844266882,8353.437844266882,0.26666666666666666,26.666666666666668,0.15260969779060246,1007796.1381191158,True
