combo_id,strategy_id,strategy_name,param1_name,param1_value,param2_name,param2_value,metric_name,metric_value
bollinger_mean_reversion__20__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,20.0,std_dev,3.5,profit_factor,0.0
bollinger_mean_reversion__30__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,1.5,sharpe_ratio,-39.64990930955446
bollinger_mean_reversion__30__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,1.5,total_return_pct,-2.7016338391219863
bollinger_mean_reversion__30__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,1.5,max_drawdown_pct,-2.971559150997083
bollinger_mean_reversion__30__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,1.5,profit_factor,0.7229312884745316
bollinger_mean_reversion__30__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.0,sharpe_ratio,-27.403839176716755
bollinger_mean_reversion__30__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.0,total_return_pct,-1.7189991433330443
bollinger_mean_reversion__30__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.0,max_drawdown_pct,-1.9603445111472384
bollinger_mean_reversion__30__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.0,profit_factor,0.7948497210901271
bollinger_mean_reversion__30__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.5,sharpe_ratio,-15.673274883274638
bollinger_mean_reversion__30__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.5,total_return_pct,-0.818055191307776
bollinger_mean_reversion__30__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.5,max_drawdown_pct,-1.210923681176057
bollinger_mean_reversion__30__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,2.5,profit_factor,0.8475336295580992
bollinger_mean_reversion__30__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.0,sharpe_ratio,7.393047780504836
bollinger_mean_reversion__30__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.0,total_return_pct,0.23832728613428777
bollinger_mean_reversion__30__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.0,max_drawdown_pct,-0.3549880844983977
bollinger_mean_reversion__30__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.0,profit_factor,5.292251470541762
bollinger_mean_reversion__30__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.5,sharpe_ratio,4.7164435001405645
bollinger_mean_reversion__30__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.5,total_return_pct,0.05193395991349714
bollinger_mean_reversion__30__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.5,max_drawdown_pct,-0.14876820226982224
bollinger_mean_reversion__30__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,30.0,std_dev,3.5,profit_factor,999999.0
bollinger_mean_reversion__40__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,1.5,sharpe_ratio,-23.340488798097937
bollinger_mean_reversion__40__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,1.5,total_return_pct,-1.5811853914965424
bollinger_mean_reversion__40__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,1.5,max_drawdown_pct,-1.8843076278334259
bollinger_mean_reversion__40__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,1.5,profit_factor,0.9111245088014144
bollinger_mean_reversion__40__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.0,sharpe_ratio,-9.984805368675778
bollinger_mean_reversion__40__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.0,total_return_pct,-0.6363508360098358
bollinger_mean_reversion__40__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.0,max_drawdown_pct,-1.22999146997117
bollinger_mean_reversion__40__2,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.0,profit_factor,1.4104554824411506
bollinger_mean_reversion__40__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.5,sharpe_ratio,-10.416962411195794
bollinger_mean_reversion__40__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.5,total_return_pct,-0.5260083742371524
bollinger_mean_reversion__40__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.5,max_drawdown_pct,-1.0326191005867624
bollinger_mean_reversion__40__2p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,2.5,profit_factor,0.9893947654233185
bollinger_mean_reversion__40__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.0,sharpe_ratio,3.3441598490949183
bollinger_mean_reversion__40__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.0,total_return_pct,0.10915230351395966
bollinger_mean_reversion__40__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.0,max_drawdown_pct,-0.3549880844984088
bollinger_mean_reversion__40__3,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.0,profit_factor,11.147670523121572
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.5,sharpe_ratio,15.1933123774796
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.5,total_return_pct,0.311486544906292
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.5,max_drawdown_pct,-0.17609610303658263
bollinger_mean_reversion__40__3p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,40.0,std_dev,3.5,profit_factor,999999.0
bollinger_mean_reversion__50__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,1.5,sharpe_ratio,-18.596946454205213
bollinger_mean_reversion__50__1p5,bollinger_mean_reversion,Bollinger Bands Mean Reversion,bb_length,50.0,std_dev,1.5,total_return_pct,-1.2282856737921732
